Company Name;Ticker;Date;Close
FACEBOOK, INC.;FB;18.05.2012; $38,23 
FACEBOOK, INC.;FB;21.05.2012; $34,03 
FACEBOOK, INC.;FB;22.05.2012; $31,00 
FACEBOOK, INC.;FB;23.05.2012; $32,00 
FACEBOOK, INC.;FB;24.05.2012; $33,03 
FACEBOOK, INC.;FB;25.05.2012; $31,91 
FACEBOOK, INC.;FB;29.05.2012; $28,84 
FACEBOOK, INC.;FB;30.05.2012; $28,19 
FACEBOOK, INC.;FB;31.05.2012; $29,60 
FACEBOOK, INC.;FB;01.06.2012; $27,72 
FACEBOOK, INC.;FB;04.06.2012; $26,90 
FACEBOOK, INC.;FB;05.06.2012; $25,87 
FACEBOOK, INC.;FB;06.06.2012; $26,81 
FACEBOOK, INC.;FB;07.06.2012; $26,31 
FACEBOOK, INC.;FB;08.06.2012; $27,10 
FACEBOOK, INC.;FB;11.06.2012; $27,01 
FACEBOOK, INC.;FB;12.06.2012; $27,40 
FACEBOOK, INC.;FB;13.06.2012; $27,27 
FACEBOOK, INC.;FB;14.06.2012; $28,29 
FACEBOOK, INC.;FB;15.06.2012; $30,01 
FACEBOOK, INC.;FB;18.06.2012; $31,41 
FACEBOOK, INC.;FB;19.06.2012; $31,91 
FACEBOOK, INC.;FB;20.06.2012; $31,60 
FACEBOOK, INC.;FB;21.06.2012; $31,84 
FACEBOOK, INC.;FB;22.06.2012; $33,05 
FACEBOOK, INC.;FB;25.06.2012; $32,06 
FACEBOOK, INC.;FB;26.06.2012; $33,10 
FACEBOOK, INC.;FB;27.06.2012; $32,23 
FACEBOOK, INC.;FB;28.06.2012; $31,36 
FACEBOOK, INC.;FB;29.06.2012; $31,10 
FACEBOOK, INC.;FB;02.07.2012; $30,77 
FACEBOOK, INC.;FB;03.07.2012; $31,20 
FACEBOOK, INC.;FB;05.07.2012; $31,47 
FACEBOOK, INC.;FB;06.07.2012; $31,73 
FACEBOOK, INC.;FB;09.07.2012; $32,17 
FACEBOOK, INC.;FB;10.07.2012; $31,47 
FACEBOOK, INC.;FB;11.07.2012; $30,97 
FACEBOOK, INC.;FB;12.07.2012; $30,81 
FACEBOOK, INC.;FB;13.07.2012; $30,72 
FACEBOOK, INC.;FB;16.07.2012; $28,25 
FACEBOOK, INC.;FB;17.07.2012; $28,09 
FACEBOOK, INC.;FB;18.07.2012; $29,11 
FACEBOOK, INC.;FB;19.07.2012; $29,00 
FACEBOOK, INC.;FB;20.07.2012; $28,76 
FACEBOOK, INC.;FB;23.07.2012; $28,75 
FACEBOOK, INC.;FB;24.07.2012; $28,45 
FACEBOOK, INC.;FB;25.07.2012; $29,34 
FACEBOOK, INC.;FB;26.07.2012; $26,85 
FACEBOOK, INC.;FB;27.07.2012; $23,71 
FACEBOOK, INC.;FB;30.07.2012; $23,15 
FACEBOOK, INC.;FB;31.07.2012; $21,71 
FACEBOOK, INC.;FB;01.08.2012; $20,88 
FACEBOOK, INC.;FB;02.08.2012; $20,04 
FACEBOOK, INC.;FB;03.08.2012; $21,09 
FACEBOOK, INC.;FB;06.08.2012; $21,92 
FACEBOOK, INC.;FB;07.08.2012; $20,72 
FACEBOOK, INC.;FB;08.08.2012; $20,72 
FACEBOOK, INC.;FB;09.08.2012; $21,01 
FACEBOOK, INC.;FB;10.08.2012; $21,81 
FACEBOOK, INC.;FB;13.08.2012; $21,60 
FACEBOOK, INC.;FB;14.08.2012; $20,38 
FACEBOOK, INC.;FB;15.08.2012; $21,20 
FACEBOOK, INC.;FB;16.08.2012; $19,87 
FACEBOOK, INC.;FB;17.08.2012; $19,05 
FACEBOOK, INC.;FB;20.08.2012; $20,01 
FACEBOOK, INC.;FB;21.08.2012; $19,16 
FACEBOOK, INC.;FB;22.08.2012; $19,44 
FACEBOOK, INC.;FB;23.08.2012; $19,44 
FACEBOOK, INC.;FB;24.08.2012; $19,41 
FACEBOOK, INC.;FB;27.08.2012; $19,15 
FACEBOOK, INC.;FB;28.08.2012; $19,34 
FACEBOOK, INC.;FB;29.08.2012; $19,10 
FACEBOOK, INC.;FB;30.08.2012; $19,09 
FACEBOOK, INC.;FB;31.08.2012; $18,06 
